window,max_nodes,best_mae,mae_reduction_pct
240,50,0.1037127245765271,38.64275957949543
240,55,0.1004836281344963,40.55311771099438
240,60,0.0962424374375835,43.06223853799252
240,65,0.0948546671247669,43.883254060240205
240,70,0.0923215743075565,45.38185112851361
240,75,0.0903278770203716,46.56133767922369
240,80,0.0880039579293412,47.936185972606815
240,85,0.0873904350166253,48.29915081624296
240,90,0.0865837978733958,48.77636351440828
240,95,0.0861810472399494,49.014633866930424
240,100,0.083500369726575,50.60054316928019
240,105,0.0772680124423243,54.2876533656196
240,115,0.0724352141244749,57.14677378216304
240,125,0.0745825900637321,55.87636976649194
240,135,0.0738444910585756,56.313034778412494
240,145,0.0738176634720064,56.32890618364024
240,150,0.0734977061809091,56.5181953621312
240,155,0.0719178793541869,57.45283298567981
240,165,0.0707651551066149,58.13479345953307
240,175,0.0703700275518051,58.36855394047909
240,185,0.0692737401791183,59.01712592786598
240,195,0.0685156923050799,59.465592843064094
240,200,0.0683279632352005,59.576654795409276
264,5,0.166532042475202,0.0
264,10,0.1481915862231755,11.013169585521393
264,15,0.1249000998380702,24.999358692986156
264,20,0.1193570459414653,28.327879627586658
264,25,0.1179374806601463,29.180307340728042
264,30,0.1146646733478402,31.14557916689534
264,35,0.1144857707798443,31.25300748239356
264,40,0.1128763658584131,32.21943105920813
264,45,0.1032755601768314,37.98457123216394
264,50,0.1027659329434612,38.29059476120705
264,55,0.0999227024465398,39.99791213668738
264,60,0.0954827260480216,42.66405153696486
264,65,0.0941309576097724,43.47576826015974
264,70,0.0916263743824484,44.979733016790256
264,75,0.0895246384367923,46.2417940078269
264,80,0.0873702385042402,47.53547893508221
264,85,0.0868545066355234,47.84516820631876
264,90,0.085936173775014,48.39661334976385
264,95,0.0855846257332569,48.60771268928551
264,100,0.0829224197779918,50.206327535831655
264,105,0.0768470862472158,53.85447442725086
264,115,0.072102603637071,56.703465251855256
264,125,0.0741261490563978,55.48835650206128
264,135,0.0734354081563328,55.9031360782908
264,145,0.0734062810768765,55.92062645373049
264,150,0.073077790023686,56.117880416576355
264,155,0.0714882446156109,57.07237865274121
264,165,0.0704023261384797,57.724456451698664
264,175,0.0700103795238837,57.95981452980208
264,185,0.0689507276617447,58.59611961943478
264,195,0.0682129574566939,59.039139589697065
264,200,0.0680479499151033,59.1382241497241
