window,max_nodes,best_mse,mse_reduction_pct
240,80,0.0169057205058913,67.4686239410163
240,85,0.0147783238641877,71.5623353065722
240,90,0.0145317613517827,72.036791145961
240,95,0.0143442556059021,72.39760510419107
240,100,0.0131836068445004,74.63102078833151
240,105,0.0116730557450799,77.53774729279698
240,115,0.0101226927729995,80.52108307284229
240,125,0.0106207194697423,79.56273919430085
240,135,0.0100227539635476,80.71339353911516
240,145,0.0100708919284094,80.62076251300256
240,150,0.0099986565966196,80.75976367195231
240,155,0.0094751225098846,81.76719096553249
240,165,0.0093501729785351,82.00762911729939
240,175,0.0089917468952888,82.69734202834455
240,185,0.0087610568597099,83.14125474403521
240,195,0.0087111217629337,83.23734395899665
240,200,0.0086355041933395,83.38285349775175
264,5,0.0508884967162495,0.0
264,10,0.0446697238134547,12.220390273012425
264,15,0.0373378204118009,26.628171745780136
264,20,0.0359910808069194,29.27462367850438
264,25,0.0325080822471158,36.118996738342524
264,30,0.0316023186082119,37.89889533498289
264,35,0.0293517366622077,42.3214703592625
264,40,0.0285781480479114,43.84163437316484
264,45,0.023090318776611,54.62566146262698
264,50,0.0230610184905559,54.68323888767547
264,55,0.0211679377677489,58.40329517733692
264,60,0.0185019720001094,63.64213291016431
264,65,0.0182167300060545,64.20265643210166
264,70,0.0180839972120286,64.4634870767285
264,75,0.0177050652677331,65.20811890660627
264,80,0.0166393287690204,67.30237707393859
264,85,0.014574766367716,71.35940869115505
264,90,0.0143190425864485,71.86192654444005
264,95,0.0141430811975595,72.20770486418517
264,100,0.0130015770731492,74.45085252636753
264,105,0.0115336970758933,77.33535509959286
264,115,0.0100299171468565,80.29040393395275
264,125,0.010493162161646,79.38009012104425
264,135,0.009917040954032,80.51221475586382
264,145,0.0099619656229576,80.42393415843117
264,150,0.0098901227267274,80.5651112433641
264,155,0.0093766779652424,81.5740716069369
264,165,0.0092558493511198,81.81150957802951
264,175,0.0089126173977587,82.48598804666052
264,185,0.0086882686720628,82.9268513854753
264,195,0.008636861132903,83.02787134573558
264,200,0.0085631872391435,83.17264648847618
